Sales
30
19
25
28
32
23
28
35
37
25
31
29
37
24
29
32
35
20
30
35
41
27
28
35
42
24
32
37
46
29
36
43
49
31
38
40
51
32
41
44
56
34
42
46
60
35
44
48

